time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447350000	19.5757	8.69353	4.61388	1.14299	0.381482	radar	0.405537	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7318	8.87835	4.61254	1.13538	0.354048	lidar	4.04128	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8115	9.0881	4.52023	1.16124	0.365254	radar	0.824231	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9365	9.33087	4.61643	1.17571	0.362499	lidar	3.46792	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9916	9.53165	4.42995	1.20709	0.38106	radar	2.07078	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0734	9.7866	4.52852	1.23542	0.391732	lidar	1.25315	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1357	10.0406	4.67435	1.26419	0.398946	radar	7.51514	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1822	10.3309	4.79964	1.30627	0.42297	lidar	1.28138	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2051	10.5514	4.63052	1.34491	0.446954	radar	2.96091	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2593	10.8422	4.77196	1.37836	0.459816	lidar	2.33019	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2874	11.1041	4.84898	1.41045	0.468393	radar	4.94518	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3212	11.3457	4.85285	1.43481	0.469385	lidar	0.00194186	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2816	11.5678	4.5647	1.49509	0.520366	radar	10.6753	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3473	11.8151	4.61871	1.50535	0.505142	lidar	4.60658	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3681	12.0571	4.80212	1.5184	0.482751	radar	3.67906	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3495	12.3644	4.95722	1.56141	0.503253	lidar	1.22795	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3086	12.5858	4.73595	1.61062	0.539306	radar	3.46347	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3316	12.8257	4.7417	1.62475	0.526609	lidar	1.70502	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3256	13.0448	4.67909	1.64741	0.52412	radar	1.99113	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2912	13.2538	4.62468	1.67661	0.526519	lidar	0.884449	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2556	13.4842	4.66147	1.70323	0.523977	radar	1.3179	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2268	13.7593	4.76769	1.72988	0.525528	lidar	1.462	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.178	13.9754	4.67859	1.76266	0.536307	radar	0.848203	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
